id,name,address,city,state,lat,lon,price_per_gallon
72631,THORNTONS #221348,I-355 & SR-7,Homer Glen,IL,41.578368,-87.930012,3.849
71386,CASEYS #3952,SR-1 & SR-9,Hoopeston,IL,40.456154,-87.639183,3.189
66322,LOVES TRAVEL STOP #318,"I-57, EXIT 83 & CR-42",Ina,IL,38.165212,-88.857408,3.389
1132,SPEEDWAY #7423,"I-57, EXIT 83",Ina,IL,38.171998,-88.885266,3.249
72436,Ricky Rockets,SR-390 &SR-53,Itasca,IL,42.004412,-88.015131,3.399
69874,LOVES TRAVEL STOP #687,"I-72, EXIT 64 & US-67",Jacksonville,IL,39.764066,-90.200725,3.489
69058,FOOD N FUEL,SR-53,Joliet,IL,41.462449,-87.954434,3.499
71683,GAS N WASH,US HWY 6,Joliet,IL,41.479521,-87.952599,3.799
72623,LENNYS FOOD N FUEL,US-6,Joliet,IL,41.464891,-87.945682,3.299
63946,MINIT MART #600644,"I-80, EXIT 134",Joliet,IL,41.440601,-87.940521,3.599
69566,PILOT TRAVEL CENTER #1024,"I-80, EXIT 132B & SR-53",Joliet,IL,41.472712,-87.932322,3.799
70340,PIT STOP,SR-53 & SR-74,Joliet,IL,41.493943,-87.911658,3.499
72385,GAS N WASH,I-57 & SR-17,Kankakee,IL,41.101757,-87.909058,3.599
68154,LOVES TRAVEL STOP #395,"I-57, EXIT 308",Kankakee,IL,41.13632,-87.834074,3.379
68026,MINIT MART #600627,"I-57, EXIT 312",Kankakee,IL,41.139125,-87.87724,3.449
72979,RICKY ROCKETS,"I-57, EXIT 312",Kankakee,IL,41.146539,-87.893589,3.379
67114,SPEEDWAY #1415,"I-57, EXIT 306 & US-45/US-52",Kankakee,IL,41.124197,-87.830347,3.339
69908,LOVES TRAVEL STOP #685,"I-74, EXIT 51",Knoxville,IL,40.93395,-90.275707,3.889
66487,COMPASS,"I-55, EXIT 282",La Grange,IL,41.755186,-87.841986,3.549
63763,Flying J Travel Plaza #644,"I-80, EXIT 77 & SR-351",La Salle,IL,41.348328,-89.092022,3.299
71230,THE PRIDE OF LAKE COUNTY,US-12 & SR-53,Lake Zurich,IL,42.23537,-88.05349,3.349
72988,Thorntons #221354,US-12,Lake Zurich,IL,42.193814,-88.102426,3.349
72577,QUIKTRIP #7205,"I-80, EXIT 161",Lansing,IL,41.557305,-87.572352,3.079
67813,LEROY TRUCK PLAZA,"I-74, EXIT 149",Le Roy,IL,40.344719,-88.798055,3.479
63353,LOVES TRAVEL STOP #367,"I-74, EXIT 149",Le Roy,IL,40.317571,-88.759894,3.389
73026,Gas N Wash,SR-171,Lemont,IL,41.681367,-88.006593,3.299
71141,CASEYS #3901,"I-55, EXIT 178 & CR-23",Lexington,IL,40.63037,-88.771611,3.339
72585,GAS N WASH GREEN OAKS,"I-94, EXIT 16",Libertyville,IL,42.295781,-87.957206,3.559
69200,BECKS EXPRESS MART #22,"I-55, EXIT 126",Lincoln,IL,40.180323,-89.330761,3.299
4637,THORNTONS #369 DBA PILOT TRAVEL CENTER #514,"I-55, EXIT 126 & SR-10",Lincoln,IL,40.136721,-89.360454,3.399
65880,MR FUEL DBA ONE9 #1245,"I-55, EXIT 52 & SR-16",Litchfield,IL,39.146266,-89.65255,3.199
73093,GAS N WASH,I-355 EXIT 7,Lockport,IL,41.58564,-88.030575,3.399
71029,CASEYS #6445,I-355 EXIT 27 & SR-64,Lombard,IL,41.899908,-88.013779,3.349
60851,SPEEDWAY #7382,I-355 & SR-64,Lombard,IL,41.854906,-88.025075,3.249
70131,THORNTONS #323,SR-64,Lombard,IL,41.8967,-88.043985,3.299
66319,ROAD RANGER #211,I-90 & RIVERSIDE BLVD,Loves Park,IL,42.346146,-89.063902,3.469
64913,Circle K #4701331,US-136 & US-67,Macomb,IL,40.501173,-90.694553,3.499
4574,Circle K #4701432,"I-74, EXIT 174",Mahomet,IL,40.210317,-88.411032,3.669
63762,MINIT MART #600643,"I-57, EXIT 322",Manteno,IL,41.258603,-87.814296,3.249
69861,HUCKS FOOD & FUEL #379,"I-57, EXIT 53",Marion,IL,37.700935,-88.913027,2.929
71073,LOVES TRAVEL STOP #803,I-57 EXIT 54B,Marion,IL,37.75505,-88.89591,3.739
7466,PILOT #595,"I-57, EXIT 54B & SR-13",Marion,IL,37.701055,-88.927284,3.759
71053,ROAD RANGER #279,"I-57, EXIT 45 & SR-148",Marion,IL,37.719208,-88.923853,3.379
4642,MARSHAL JUNCTION,"I-70, EXIT 147 & SR-1",Marshall,IL,39.382615,-87.708186,3.199
70539,PILOT #1174,"I-70/SR-1, EXIT 147",Marshall,IL,39.398471,-87.726059,3.299
69315,ROAD RANGER #269,"I-70, EXIT 147 & SR-1",Marshall,IL,39.382581,-87.684061,3.249
64914,Martinsville Food and Fuel,"I-70, EXIT 136",Martinsville,IL,39.301427,-87.892949,3.489
69051,PILOT TRAVEL CENTER #1225,"I-64, EXIT 23 & SR-4",Mascoutah,IL,38.451834,-89.824944,3.799
69587,LAMBOS #3,"I-57, EXIT 190A & SR-16",Mattoon,IL,39.440207,-88.392152,3.399
7471,ROAD RANGER #185,"I-55, EXIT 145 & US-136",Mc Lean,IL,40.319952,-89.174656,3.349
72316,THORNTONS #221344,SR-120,Mchenry,IL,42.330659,-88.26884,3.649
70342,AF TRUCK CENTER,"I-294, EXIT 33 & SR-64",Melrose Park,IL,41.904532,-87.822204,3.459
72206,NORTHLAKE BP,I-294 & US-45,Melrose Park,IL,41.930399,-87.842785,3.599
10053,BECKS #27,"I-39/US-51, EXIT 72 & US-34",Mendota,IL,41.545166,-89.114841,3.269
66225,ROAD RANGER #140,"I-39, EXIT 72",Mendota,IL,41.562458,-89.103203,3.269
4569,METROPOLIS TRUCK STOP,"I-24, EXIT 37 & US-45",Metropolis,IL,37.147893,-88.715773,3.599
70108,RICKY ROCKETS FUEL CENTER,SR-50 & SR-83,Midlothian,IL,41.597589,-87.754667,3.099
66834,ROAD RANGER #186,"I-39/US-51, EXIT 27 & SR-2/CR-2200",Minonk,IL,40.885002,-89.018464,3.339
63577,PILOT TRAVEL CENTERS #236,"I-80, EXIT 122",Minooka,IL,41.46567,-88.317563,3.799
69895,Shell,"I-80, EXIT 122",Minooka,IL,41.477238,-88.248268,3.149
4644,CIRCLE K #4706703,"I-80, EXIT 145A",Mokena,IL,41.511099,-87.920121,3.339
68698,GAS N WASH,"I-80, EXIT 145 & SR-84",Mokena,IL,41.570407,-87.904579,3.499
69203,SPEEDWAY #1414,US-45,Mokena,IL,41.545484,-87.884035,3.339
5842,PETRO STOPPING CENTER #6367,"I-57,  EXIT 335",Monee,IL,41.427296,-87.749013,3.399
